cust_id	cust_name	cust_user_id	cust_create_id	cust_source	cust_industry	cust_level	cust_linkman	cust_phone	cust_mobile	cust_zipcode	cust_address	cust_createtime
16	小李	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:01
17	小赵	\N	4	6	4	23	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:02
22	小明	\N	3	6	2	23	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:03
24	小伟	\N	2	7	5	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:03
25	Tom	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:03
26	jack	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:03
28	Rose	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:04
29	小韩	\N	1	7	1	23	小雪	010-88888886	13888888886	100096	北京昌平区西三旗	2016-04-08 16:32:04
30	小叶	\N	2	6	2	23	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:04
31	小韩	\N	4	7	1	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:04
33	小海	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:04
34	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:05
35	小姜	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:05
36	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:05
37	小梦	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:05
38	小孙	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:05
39	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:06
40	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:06
41	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:06
42	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:06
43	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:06
44	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
45	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
46	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
47	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
48	小高	\N	5	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
49	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:07
50	小钱	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
51	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
52	小周	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
53	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
54	小丽	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
55	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:08
56	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:09
57	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:09
58	张三	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:09
59	李四	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:29
60	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:29
61	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:29
62	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:29
63	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
64	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
65	王五	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
66	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
67	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
68	赵六	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:30
69	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:31
70	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:31
71	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:31
72	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:31
73	小七	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:31
74	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
75	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
76	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
77	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
78	小郑	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
79	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:32
80	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:33
81	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:33
82	小吴	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:33
83	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:33
144	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:44
145	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:44
146	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:44
147	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:45
148	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:45
149	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:45
150	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:45
151	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:45
152	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
153	晶晶	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
154	倩倩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
155	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
156	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
157	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:46
158	小韩	\N	1	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:47
159	小韩	\N	2	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:47
160	小韩	\N	3	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:47
161	小韩	\N	4	6	2	22	小雪	010-88888887	13888888888	100096	北京昌平区西三旗	2016-04-08 16:32:47
171	小韩	\N	3	7	1	23	小雪	010-8235438	13755555555	100000	北京昌平区西三旗	2017-05-05 10:23:07
172	小韩	\N	2	6	2	22	小雪	010-0000000	13288546521	100859	北京昌平区西三旗	2017-05-05 10:51:08
173	小洛	\N	1	6	1	22	小雪	01062872234	13521023333	100000	北京昌平区西三旗	2017-05-05 10:57:09
174	小月	\N	1	6	1	22	小雪	0482-8235438	13848399998	137400	内蒙古兴安盟乌兰浩特市	2017-05-05 11:33:27
175	小韩	\N	1	6	1	22	小石	0791-88130000	15179105961	330098	江西省南昌市瑶湖高校园区	2017-05-05 13:17:11
176	小智	\N	1	7	1	23	小黑	400-618-4000	13520203625	100091	北京市海淀区	2017-05-16 15:49:07
177	小程	\N	1	6	1	23	小韩	010-88886616	13718026541	100000	北京市昌平区	2017-05-16 16:25:59
